id,Nama Franchise,Alamat Cabang Pertama,Deskripsi,Kategori,No. Whatsapp,Jenis Franchise,Fasilitas,Harga,Popularity Score,Target Market,Market Size,Risk rate (1-10),Return of Investment% (ROI) ((pendapatan-harga(investasi))/(harga(investasi))×100%,Pendapatan/3bulan,user potential,market share (Penjualan Perusahaan/Total Penjualan Pasar),harga jual produk,kuantitas pembelian/tahun
83,Martabak Orins,6759 O'Conner Underpass,Martabak Orins is one of the snacks that is always flooded with fans because it has a unique thin and unique dry martabak skin with various toppings and flavors.,Fast Food,+62 711-733-5775,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp55,000,000",2,Family,"Rp17,247,000",7,-9%,"Rp50,000,000",5749,3.00%,"Rp20,000",5
84,Coding Giants,818 Wolf Lights,"Coding Giants is an innovative facility in which we educate young people interested in new technologies and computer programming. We want to inspire as many young people as possible with a passion for programming. We believe that learning programming develops not only digital skills that allow for a better start in the future, but - more importantly - stimulates the development of logical thinking and many other skills of a young person.",Education,+62 485-789-0210,Services,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp172,700,000",2,High School student,"Rp94,710,000",6,-13%,"Rp150,000,000",6314,5.00%,"Rp100,000",3
85,Waba Grill,61755 Grant Fords,"WaBa grill franchise was launched in 2006 in Southern California. The concept of the brand is to serve delicious, low-fat, healthy fish, meat and vegetables made from fresh ingredients. The idea has got a lot of followers which leads to a quick growth of the franchise chain. Today WaBa grill quick service restaurant franchises are available for sale in Europe, Australia, Canada, the UAE and other locations. In order to join our franchise family, an entrepreneur should be fully committed to sharing our values and have enough funds to pay required cost & fees. We promise our franchisees constant support at all stages of running their own WaBa grill quick service restaurant franchise.",Restaurant,+62 068-470-7687,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp110,480,000",4,Family,"Rp161,568,000",3,0%,"Rp110,000,000",5610,6.00%,"Rp120,000",4
86,Domino's Pizza,621 Wisoky Springs,"Domino's Pizza Franchise is considered to be one of the most famous pizza delivery businesses. They provide online and phone ordering. The menu of the restaurant consists of pasta, sandwiches, chicken wings, and salads that can be a complement to pizzas. Up to 10,000 brand stores have already been opened and have seized Domino's Pizza franchise opportunities. Owning a Domino's Pizza restaurant franchise means having a big fan base, a tried-and-true concept and a reasonable cost and profit balance. How to buy one of Domino's Pizza franchises for sale? Read Domino's Pizza franchise requirements including fees and investment information and contact us.",Restaurant,+62 285-078-4673,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp276,900,000",9,"Family, workers","Rp2,400,000,000",5,-10%,"Rp250,000,000",100000,10.00%,"Rp120,000",2
87,Variety Fashion Boutique,24323 Wuckert Causeway,"Variety Fashion Boutique franchise offers prospective opportunities and lucrative returns for new entrepreneurs. The business deals with high quality women's wear. The buyers can order a dress by choosing the design and material, and it will be made according to their measurements and wishes. Ready made Products are also available on a user-friendly website. The main benefits of Variety Fashion Boutique franchise for sale are proven business model to follow, advertisement and marketing support, and a set of trainings. If you'd like to join us, read the investment information including cost & fees, and learn the Variety Fashion Boutique franchise requirements.",Fashion,+62 813-364-0234,Product,"training, folklore themed shop, batik education trainee, uniform + employee ID lanyard, grand opening companion, 6 month business guidance, 5 year business collaboration","Rp179,000,000",5,"Workers, college student","Rp786,350,000",2,12%,"Rp200,000,000",31454,5.00%,"Rp100,000",5
88,Gyu-Kaku Japanese BBQ,97753 Padberg Crescent,"Gyu-Kaku is a chain of Japanese yakiniku restaurants specializing in Japanese-Korean barbecue. Gyu-Kaku is owned by the Colowide Group, headquartered in Yokohama, Japan. There are over six hundred Gyu-Kaku locations in Japan, and locations have also been opened in the United States. Gyu-Kaku Japanese BBQ also offers franchise opportunities. As of 2018, the company operates 20 franchises in the United States and 686 ones outside the country.",Restaurant,+62 611-901-6715,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp181,100,000",6,"Workers, family","Rp187,380,000",4,-6%,"Rp170,000,000",9369,4.00%,"Rp100,000",5
89,Mango Mania,29696 Nolan Isle,"Since the beginning, Started the business by selling Thai agricultural Products to the global market especially Namdokmai mangoes.
Our experienced staff has provided strict guidelines and high expectations to the contracted farmers for planning, orchard preparation, and orchard maintenance to ensure that the Products we receive are of the highest quality and freshness.",Beverages,+62 357-815-1933,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp18,320,000",3,College students,"Rp81,300,000",2,9%,"Rp20,000,000",27100,4.00%,"Rp25,000",3
90,Pizza Hut,133 Ila Overpass,"Pizza Hut is an American restaurant chain and international franchise founded in 1958 by Dan and Frank Carney. The company is known for its Italian-American cuisine menu including pizza and pasta, as well as side dishes and desserts. Pizza Hut has 16,796 restaurants worldwide as of March 2018, making it the world's largest pizza chain in terms of locations. It is a subsidiary of Yum! Brands, Inc., one of the world's largest restaurant companies.",Restaurant,+62 971-923-2076,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp285,300,000",10,Family,"Rp3,618,000,000",6,-12%,"Rp250,000,000",100500,10.00%,"Rp120,000",3
91,MOTORSPORT Racing Simulator,2305 Koch Spurs,"Motorsport has build simulators for professional racing drivers and teams, as well as for amateurs who can use the simulator to reduce training costs on real routes. Motorsport is the most advanced racing simulator for professionals and amateurs. Motorsport is made of the same sort of materials as real racing cars. The simulator can give real racing car driving experiences. It simulates the loss and restoration of the rear wheel clutch (the key component of racing training programs)",Automotive,+62 365-930-6912,Services,"Rental of location for one year, Venue Renovation, Premium Wash N Wax, Full Salon, Exterior Detailing, Interior Detailing, Engine Detailing, Nano Ceramic Coating, Car Fogging, Nano Ceramic Maintenance, Glas Coating","Rp287,400,000",4,Workers,"Rp105,126,000",8,-30%,"Rp200,000,000",7509,7.00%,"Rp100,000",2
92,Subway,55885 Waters Lights,"Subway franchise is an American fast food chain operating in 100 countries. Subway restaurant franchise offers a rich menu which includes sandwiches, pizzas, salads and breakfast ideas. The brand provides equally good opportunities for those who have already run their business as well as for absolute novices. Owning a Subway franchise is easy due to a set of trainings available for a franchisee. How to open a Subway franchise? First, check Subway investment information and study the franchise requirements. If you find them suitable for you, proceed with matching Subway franchise cost and profit. Then analyze what franchise fees include and choose the best Subway format among offered for sale.",Fast Food,+62 242-521-3769,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp189,500,000",8,All ages,"Rp2,160,000,000",7,-21%,"Rp150,000,000",100000,8.00%,"Rp90,000",3
93,Ngikan Yuk,7776 Cormier Glens,"Ngikan Yuk is one of the best-selling food franchises in 2022. Not only delicious, the affordable price makes Ngikan Yuk has a wide market segment.",Fast Food,+62 698-926-1015,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp100,000,000",3,Fam,"Rp105,726,600",4,-10%,"Rp90,000,000",19579,9.00%,"Rp30,000",2
94,Kumon,58472 Flo Flat,"Kumon was founded by Toru Kumon, a Japanese educator, in 1958, opening the first Kumon Math Center in Moriguchi City, Osaka. Initial growth of Kumon was slow, only gaining 63,000 students over its first 16 years. However, in 1974 Kumon published a book titled The Secret of Kumon Math, leading to a doubling of its size in the next two years. Kumon opened their first United States locations in 1983, and by 1985, Kumon reached 1.4 million students. As of 2008, Kumon had over 26,000 centers around the globe with over 4 million registered students. As of 2018, there were 410,000 students enrolled in 2,200 centers across the United States.",Education,+62 115-740-0698,Services,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp193,700,000",8,Students,"Rp2,246,022,000",6,-23%,"Rp150,000,000",41593,3.00%,"Rp150,000",12
95,Ayam Bebek Angsa Express,6963 Erna Divide,"Ayam Bebek Angsa (ABA) Masak Di Kuali is a type of business that was formed to be a solution to economic problems. In addition, Ayam Bebek Angsa (ABA) was also formed to help fellow partners who want to run a business with affordable capital and an easy cooperation system and running it is very simple.
Ayam Bebek Angsa (ABA) has been running since 2017, the recipe, ingredients and concoction of Ayam Bebek Angsa (ABA) we made based on the experience of our ancestors.",Restaurant,+62 272-716-9447,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp130,000,000",4,All Ages,"Rp55,045,200",2,15%,"Rp150,000,000",6553,7.00%,"Rp30,000",4
96,Days Inn,4502 Hackett Knolls,"Days Inn franchise deals with low-priced hotel services with free breakfast and Wi-Fi. Days Inn by Wyndham franchise opportunities are proven by more than 1800 locations successfully operating under the brand name. Besides, the company has 40 years of experience in franchising. Buying one of Days Inns hotel franchises for sale, you receive a comprehensive service and support program for franchisees which includes trainings, marketing assistance, and recommendations on how to open the Days Inns Worldwide franchise. All the investment information, royalty fees, requirements, cost and profit ratio are available.",Hotel & Motel,+62 187-978-9012,Services,"Reservation system, Interior design support, Staff training, Branding materials, Marketing collateral, Operational manuals, Exclusive amenities, Quality control standards, Centralized booking system, Customer feedback management","Rp219,790,000",4,Tourist/Workers,"Rp80,913,000",4,-9%,"Rp200,000,000",26971,3.00%,"Rp20,000",5
97,Bee Crepes,62285 Schuppe Circle,"Bee Crepes first opened at Mall of Serang in 2016. Bee Crepes are made from the best quality ingredients and have a delicious, crispy and fragrant taste that can arouse the appetite of everyone who smells Bee Crepes. Bee Crepes are made directly in front of the customer according to the order of the selected flavor variant. Bee Crepes serves 3 flavors: salty, sweet and ice cream. We always make new menu innovations that are adjusted to the latest flavor trends so that we always present a menu that is current and becomes a special attraction for Bee Crepes friends throughout Indonesia.",Fast Food,+62 699-007-6551,Product,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp48,000,000",3,All Ages,"Rp45,000,000",4,4%,"Rp50,000,000",15000,3.00%,"Rp25,000",4
98,Fast Shine,449 Weimann Green,"Fast Shine is the first on-site car wash, which uses only high quality eco-friendly materials and certified work specialists. Our unique company occupies a new niche in car washing services.",Car Wash,+62 062-828-8318,Services,"Rental of location for one year, Venue Renovation, 2 AutoClean Waterless Outlets, 1 Autoclean WaterlessPlus Outlet, Outlet Setting Creation, End To End, Integrated System, Employee Training, Grand Opening Promo","Rp202,100,000",2,workers,"Rp101,250,000",7,-26%,"Rp150,000,000",3000,15.00%,"Rp75,000",3
99,Daily Fresh Water - Depot Air Minum,592 Wolf Village,"In any economic condition, the Drinking Water Depot business always has a large and crisis-resistant market, because it is a basic need of the community.
People need healthy, fresh and natural water at an affordable price.
The Water Depot business is very simple, easy to monitor and efficient. The amount of material wasted or damaged in the process is minimal.",Beverages,+62 045-753-2108,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp130,000,000",3,Family,"Rp72,000,000",8,-31%,"Rp90,000,000",8000,6.00%,"Rp10,000",15
100,LANZHOU,899 Justyn Ridge,"We created the brand in 2017 and it immediately burst into the market. Operational ""0"" of the first restaurant was achieved in the first 3 weeks of operation! For all the time of work, there was not a single month with a loss. The return on investment costs comes after 12 months of the restaurant's operation. The accumulated experience of opening a restaurant, experience in the selection and training of a team, special contacts with suppliers of ingredients, our own business model and developments - we are ready to pass all this to our franchisee partners. The exclusivity of the Product, technology, business process standards, detailed instructions for team work and quality control are the keys to your success with the LANZHOU franchise.",Restaurant,+62 759-967-3854,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp120,630,000",2,Family,"Rp52,500,000",5,-17%,"Rp100,000,000",5000,7.00%,"Rp75,000",2
