id,Name Franchise,Address,Description,Category,Number Whatsapp,Type Franchise,Facility,Price,Popularity Score,Target Market,Market Size,Risk rate (1-10),Return of Investment% (ROI) ((pendapatan-harga(investasi))/(harga(investasi))×100%,Pendapatan/3bulan,user potential,market share (Penjualan Perusahaan/Total Penjualan Pasar),harga jual produk,kuantitas pembelian/tahun,,
519,Ergonomic Rubber Table,Marielafort,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Beverages,+62 903-905-3499,Stand,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp172,700,000",2,Junior high school students,"Rp420,000,000",2,-88%,"Rp20,000,000",70000,3.00%,"Rp50,000",4,,
520,Generic Plastic Computer,Fort Zion,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Restaurant,+62 696-599-1330,Store,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp168,500,000",3,College students,"Rp33,150,000",3,-55%,"Rp75,000,000",8500,6.00%,"Rp13,000",5,,
521,Small Wooden Bike,North Xander,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Education,+62 130-104-3626,Stand,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function Beauty Clinic Scale, 4 Pcs Bed Sheet, 6 Function Facial Tool 1 Pcs, 100 Pcs Home Care & Treatment, Neon Sign Ghanisa Estetika, Free Mentoring and Consultation for 5 Years, Free Therapist Training for 5 Years, Media Coverage, Including Brand License for 5 Years Worth Rp100. 000,000, Neon Box","Rp365,010,000",3,High school students,"Rp30,240,000",4,-73%,"Rp100,000,000",8000,7.00%,"Rp18,000",3,,
522,Handmade Steel Mouse,Coon Rapids,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Fast Food,+62 876-684-7277,Kios,"Inventory management, Point-of-sale systems, Visual merchandising support, Marketing and promotional materials, Staff training programs, Exclusive product suppliers, Store layout and design assistance, E-commerce integration, Loyalty programs, Business analytics and reporting tools","Rp61,400,000",3,workers,"Rp63,000,000",6,275%,"Rp230,000,000",3000,7.00%,"Rp150,000",2,,
523,Small Frozen Towels,New Heavenville,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Restaurant,+62 598-258-6716,Resto,"training, folklore themed shop, batik education trainee, uniform + employee ID lanyard, grand opening companion, 6 month business guidance, 5 year business collaboration","Rp30,000,000",2,Workers,"Rp56,604,000",5,333%,"Rp130,000,000",9434,6.00%,"Rp50,000",2,,
524,Awesome Plastic Bacon,South Erickamouth,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Restaurant,+62 827-849-2356,Resto,"Rental of location for one year, Venue Renovation, 2 AutoClean Waterless Outlets, 1 Autoclean WaterlessPlus Outlet, Outlet Setting Creation, End To End, Integrated System, Employee Training, Grand Opening Promo","Rp80,000,000",4,Below elementary students,"Rp11,787,000",1,19%,"Rp95,000,000",3929,5.00%,"Rp20,000",3,,
525,Modern Concrete Gloves,New Jason,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Fast Food,+62 829-519-4353,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp25,000,000",2,Below elementary students,"Rp14,615,640",2,-60%,"Rp10,000,000",9369,3.00%,"Rp13,000",4,,
526,Awesome Rubber Chips,Fort Russell,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Fast Food,+62 380-229-3969,Kios,"Business strategy consultations, Market analysis reports, Legal advisory service, Financial planning assistance
Staff training programs, Customized consulting sessions, Branding and marketing strategies, Access to industry experts, Networking opportunities, Regulatory compliance guidance","Rp102,000,000",4,Workers,"Rp612,000,000",6,-51%,"Rp50,000,000",3000,6.00%,"Rp200,000",17,,
527,Ergonomic Rubber Sausages,Zackstead,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Beverages,+62 540-313-1234,Store,"Location and venue rental for 1 year, complete equipment and cooking utensils, banners, employee training, business finance","Rp8,900,000",8,Workers,"Rp9,000,000",4,1192%,"Rp115,000,000",3000,3.00%,"Rp25,000",4,,
528,Unbranded Cotton Chicken,Fort Worth,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Fast Food,+62 732-614-1201,Outlet,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp233,000,000",4,workers,"Rp117,438,750",6,-68%,"Rp75,000,000",31317,5.00%,"Rp25,000",3,,
529,Modern Wooden Chips,Jacobsland,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Education,+62 951-999-6998,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp80,900,000",2,Junior high school students,"Rp903,951,000",6,22%,"Rp99,000,000",100439,2.00%,"Rp150,000",3,,
530,Tasty Cotton Tuna,Jersey City,The Football Is Good For Training And Recreational Purposes,Barber,+62 826-419-8469,Kios,"Training, folklore themed shop, batik education trainee, uniform + employee ID lanyard, grand opening companion, 6 month business guidance, 5 year business collaboration","Rp95,000,000",7,Junior high school students,"Rp424,488,000",2,-77%,"Rp22,000,000",17687,8.00%,"Rp50,000",6,,
531,Recycled Wooden Pants,New Anissa,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Services & Repair,+62 613-261-6253,Kios,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp285,300,000",8,Below elementary students,"Rp4,200,000,000",5,-72%,"Rp80,000,000",300000,7.00%,"Rp100,000",2,,
532,Elegant Frozen Ball,Port Alayna,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Restaurant,+62 391-083-9949,Resto,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp150,000,000",2,Workers,"Rp7,560,000,000",1,-27%,"Rp110,000,000",300000,12.00%,"Rp70,000",3,,
533,Generic Granite Sausages,Aliso Viejo,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Beverages,+62 096-893-9880,Kios,"Reservation system, Interior design support, Staff training, Branding materials, Marketing collateral, Operational manuals, Exclusive amenities, Quality control standards, Centralized booking system, Customer feedback management","Rp108,000,000",4,students,"Rp24,000,000",2,39%,"Rp150,000,000",20000,3.00%,"Rp20,000",2,,
534,Bespoke Fresh Sausages,Warwick,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Education,+62 264-818-5535,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp240,000,000",2,Family,"Rp4,050,000,000",5,-90%,"Rp25,000,000",75000,6.00%,"Rp150,000",6,,
535,Recycled Wooden Shoes,Jabarihaven,The Football Is Good For Training And Recreational Purposes,Cleaning services,+62 027-949-3793,Stand,"Machinery and equipment, Operational training, Production efficiency consultation, Quality control standards, Supply chain management support, Packaging materials, Branding and marketing assistance, Logistics and expedition coordination, Occupational health and safety guidelines, Regulatory compliance guidance","Rp18,320,000",2,Family,"Rp121,369,500",5,47%,"Rp27,000,000",26971,10.00%,"Rp15,000",3,,
536,Awesome Granite Fish,St. Charles,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Education,+62 460-715-8345,Store,"Supply of goods, web (administration, updating product availability, checking rental orders), bookkeeping applications, training, supervision, monitoring, consultation.","Rp13,100,000",4,High school students,"Rp158,400,000",4,91%,"Rp25,000,000",20000,2.00%,"Rp33,000",12,,
537,Refined Frozen Chicken,Lake Buddyview,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Automotive,+62 850-540-0093,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp55,000,000",2,Junior high school students,"Rp270,000,000",2,440%,"Rp297,000,000",5000,6.00%,"Rp150,000",6,,
538,Recycled Rubber Ball,North Maiyaworth,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Automotive,+62 185-262-9113,Store,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp287,400,000",4,Tourist/Workers,"Rp36,400,000",7,-91%,"Rp25,000,000",10000,4.00%,"Rp13,000",7,,
539,Awesome Plastic Fish,East Geoffrey,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Restaurant,+62 076-051-1183,Resto,"Business strategy consultations, Market analysis reports, Legal advisory service, Financial planning assistance
Staff training programs, Customized consulting sessions, Branding and marketing strategies, Access to industry experts, Networking opportunities, Regulatory compliance guidance","Rp172,700,000",1,Junior high school students,"Rp113,208,000",7,-31%,"Rp120,000,000",9434,3.00%,"Rp100,000",4,,
540,Small Wooden Towels,Heidenreichworth,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Fast Food,+62 542-503-3696,Stand,"Rental of location for one year, Venue Renovation, Premium Wash N Wax, Full Salon, Exterior Detailing, Interior Detailing, Engine Detailing, Nano Ceramic Coating, Car Fogging, Nano Ceramic Maintenance, Glas Coating","Rp276,900,000",3,All ages,"Rp48,432,000",2,-57%,"Rp120,000,000",8072,10.00%,"Rp20,000",3,,
541,Gorgeous Steel Cheese,Swaniawskimouth,The Football Is Good For Training And Recreational Purposes,Automotive,+62 203-507-6228,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp219,790,000",3,Below elementary students,"Rp54,000,000",2,14%,"Rp250,000,000",6000,3.00%,"Rp75,000",4,,
542,Small Wooden Tuna,Kossbury,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Beverages,+62 039-556-4794,Kios,"Free Online Cashier 1 Year, HR Attendance System, Android Cashier 1 Pcs, Cctv 4pcs, Basic to Advance Training for Doctors and Owners, Maximum Training 4 Therapists, Product Showcase, Facial Bed 4 Pcs, Trolley 5 Pieces, Brochure 1000 Pcs, Member Card 1000 Pcs, Magnifying Lamp 2 Pcs, Premium Quality Modern Beauty Care Machine and Complete 8 Function ","Rp130,070,000",9,All ages,"Rp56,604,000",1,15%,"Rp150,000,000",9434,2.00%,"Rp75,000",4,,
543,Licensed Frozen Car,West Leilaniborough,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Restaurant,+62 951-660-5269,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp110,810,000",2,High school students,"Rp357,000,000",1,53%,"Rp170,000,000",70000,5.00%,"Rp17,000",6,,
544,Licensed Cotton Mouse,New Arvel,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Cleaning services,+62 354-294-3975,Stand,"Full set training, promotion kit, 30 liters clothes detergen, 20 liters clothes softener, 10 liters clothes parfum, 2 pack packing plastic, complete washing equipment","Rp74,000,000",4,Middle-aged,"Rp1,080,000,000",2,15%,"Rp85,000,000",100000,12.00%,"Rp30,000",3,,
545,Generic Wooden Ball,New Nobleburgh,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Education,+62 876-964-6898,Stand,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp25,000,000",10,Below elementary students,"Rp54,000,000",1,-20%,"Rp20,000,000",3000,5.00%,"Rp30,000",12,,
546,Recycled Bronze Sausages,O'Connerstad,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Beauty & Healthcare,+62 137-615-5994,Kios,"Complete Cooking Equipment, Deep Fryer Stove, Cooler Box, Brand Stickers and Wallpaper, Opening Banners and Banners, First Sales Raw Materials, Marketing Support","Rp120,230,000",3,Family,"Rp53,675,000",3,-17%,"Rp100,000,000",21470,5.00%,"Rp10,000",5,,
547,Intelligent Plastic Tuna,West Florence,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Beverages,+62 851-917-8944,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp366,000,000",10,College students,"Rp560,000,000",4,-81%,"Rp70,000,000",20000,10.00%,"Rp70,000",4,,
548,Generic Steel Car,Rosemouth,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Beverages,+62 292-117-5879,Stand,"Full set training, promotion kit, 30 liters clothes detergen, 20 liters clothes softener, 10 liters clothes parfum, 2 pack packing plastic, complete washing equipment","Rp78,200,000",4,Below elementary students,"Rp8,208,200",2,-49%,"Rp40,000,000",6314,2.00%,"Rp13,000",5,,
549,Unbranded Cotton Salad,Warren,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Beverages,+62 920-978-9208,Resto,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp63,500,000",3,Family,"Rp526,015,000",2,73%,"Rp110,000,000",21470,7.00%,"Rp50,000",7,,
550,Awesome Concrete Bike,Orionbury,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Services & Repair,+62 958-505-7129,Kios,"Rental of location for one year, Venue Renovation, AC, TV, Neon Box, Clipper, 2 Barber Chairs, Waiting Chair, Cabinet, Clipper, Cutting Scissors, Thinning Scissors, Thinning Scissors, Comb Set, Hair Spray, Mirror, Hairbrush, Other Tools, Uniform, Vacuum Cleaner, Brochure, Banner, Hair Paint, Pomade, Vitamins, Hair tonic, Startup Management","Rp14,200,000",2,College students,"Rp202,500,000",2,534%,"Rp90,000,000",45000,5.00%,"Rp15,000",6,,
551,Handcrafted Steel Towels,Raynorfurt,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Car Wash,+62 406-039-9970,Store,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp110,480,000",2,Workers,"Rp2,485,000,000",1,54%,"Rp170,000,000",71000,35.00%,"Rp10,000",10,,
552,Bespoke Soft Chicken,Lake Moises,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Manufacturer & Expedition,+62 185-821-8392,Kios,"booth, training, supervision, employee uniforms, complete raw materials, cash register, 21 inch LCD TV, Pineleaf brand license, grand opening promotion materials","Rp27,000,000",6,High School student,"Rp10,575,600",2,270%,"Rp100,000,000",3777,7.00%,"Rp20,000",2,,
553,Refined Metal Shoes,Belleville,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Restaurant,+62 528-967-3274,Stand,"Produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp130,000,000",3,Family,"Rp13,500,000,000",2,-69%,"Rp40,000,000",300000,12.00%,"Rp75,000",5,,
554,Unbranded Wooden Fish,Gildafurt,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Restaurant,+62 935-950-7007,Stand,"Rental of location for one year, Venue Renovation, Premium Wash N Wax, Full Salon, Exterior Detailing, Interior Detailing, Engine Detailing, Nano Ceramic Coating, Car Fogging, Nano Ceramic Maintenance, Glas Coating","Rp130,070,000",3,"High school students, College student","Rp300,000,000",3,-8%,"Rp120,000,000",20000,5.00%,"Rp300,000",1,,
555,Recycled Granite Sausages,Waelchishire,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fast Food,+62 950-859-2502,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp239,000,000",5,All ages,"Rp2,362,500,000",3,-71%,"Rp70,000,000",150000,3.00%,"Rp75,000",7,,
556,Sleek Frozen Chair,Langstad,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Cleaning services,+62 833-630-9064,Kios,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp30,760,000",2,workers,"Rp900,000,000",3,388%,"Rp150,000,000",100000,4.00%,"Rp45,000",5,,
557,Modern Metal Towels,Port Gloria,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Restaurant,+62 421-760-6906,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp110,810,000",2,"Workers, family","Rp187,500,000",1,-77%,"Rp25,000,000",75000,5.00%,"Rp10,000",5,,
558,Fantastic Concrete Gloves,West Annabelle,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Cleaning services,+62 618-334-3404,Resto,"Inventory management, Point-of-sale systems, Visual merchandising support, Marketing and promotional materials, Staff training programs, Exclusive product suppliers, Store layout and design assistance, E-commerce integration, Loyalty programs, Business analytics and reporting tools","Rp27,000,000",1,Below elementary students,"Rp300,000,000",5,456%,"Rp150,000,000",100000,3.00%,"Rp25,000",4,,
559,Handmade Steel Gloves,Port Guadalupe,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Restaurant,+62 054-291-7177,Resto,"Produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp365,010,000",3,Junior high school students,"Rp43,902,000",2,-84%,"Rp57,000,000",27100,3.00%,"Rp18,000",3,,
560,Sleek Wooden Pizza,Bell Gardens,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Beverages,+62 693-931-5684,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp94,600,000",4,High School student,"Rp364,500,000",5,-5%,"Rp90,000,000",45000,9.00%,"Rp45,000",2,,
561,Elegant Plastic Keyboard,East Maiyaside,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Education,+62 207-698-4787,Resto,"produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp88,700,000",3,Workers,"Rp650,800,000",2,13%,"Rp100,000,000",6508,10.00%,"Rp250,000",4,,
562,Tasty Cotton Pants,East Skyla,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Restaurant,+62 519-068-6852,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp129,000,000",10,Married people,"Rp24,659,250",6,-84%,"Rp20,000,000",32879,5.00%,"Rp15,000",1,,
563,Awesome Rubber Mouse,North Melvinshire,The Football Is Good For Training And Recreational Purposes,Restaurant,+62 515-806-8171,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp175,000,000",8,"Family, workers","Rp101,141,250",1,14%,"Rp200,000,000",26971,5.00%,"Rp25,000",3,,
564,Recycled Metal Towels,Casperstad,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Restaurant,+62 730-302-8426,Outlet,"Rental of location for one year, Venue Renovation, Premium Wash N Wax, Full Salon, Exterior Detailing, Interior Detailing, Engine Detailing, Nano Ceramic Coating, Car Fogging, Nano Ceramic Maintenance, Glas Coating","Rp70,000,000",8,College students,"Rp19,785,000",3,471%,"Rp400,000,000",5276,5.00%,"Rp15,000",5,,
565,Luxurious Metal Chips,New Giovanniview,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Restaurant,+62 039-656-4088,Store,"training, folklore themed shop, batik education trainee, uniform + employee ID lanyard, grand opening companion, 6 month business guidance, 5 year business collaboration","Rp8,900,000",6,Married people,"Rp356,812,500",3,743%,"Rp75,000,000",47575,5.00%,"Rp75,000",2,,
566,Modern Steel Fish,Glendale,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Electronic,+62 436-973-5652,Minimarket,"Comprehensive Training Programs, Exclusive Product Lines and Suppliers, Store Design and Visual Merchandising Assistance, Inventory Management Solutions, Marketing and Advertising Support, E-commerce Integration, Financial and Business Planning Assistance","Rp108,000,000",3,Workers,"Rp159,588,000",3,131%,"Rp250,000,000",4433,9.00%,"Rp100,000",4,,
567,Small Rubber Soap,Hahnworth,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Business & Furniture,+62 680-826-4121,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp35,000,000",4,Workers,"Rp9,188,550,000",2,43%,"Rp50,000,000",43755,3.00%,"Rp1,000,000",7,,
568,Awesome Bronze Sausages,Rethatown,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Restaurant,+62 947-954-7874,Kios,"Comprehensive Training Programs, Exclusive Product Lines and Suppliers, Store Design and Visual Merchandising Assistance, Inventory Management Solutions, Marketing and Advertising Support, E-commerce Integration, Financial and Business Planning Assistance","Rp150,000,000",9,Below elementary students,"Rp810,000,000",4,-53%,"Rp70,000,000",100000,3.00%,"Rp90,000",3,,
569,Tasty Soft Fish,Cristberg,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Fast Food,+62 909-561-7930,Kios,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp57,200,000",4,All ages,"Rp33,113,340",7,-56%,"Rp25,000,000",9434,9.00%,"Rp13,000",3,,
570,Handcrafted Wooden Tuna,Rudolphburgh,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Education,+62 924-559-9134,Store,"Complete equipment and cooking utensils, banners, employee training, business finance, Location and venue rental for 1 year, media promotion","Rp147,500,000",10,Family,"Rp3,375,000,000",7,-53%,"Rp70,000,000",50000,30.00%,"Rp75,000",3,,
571,Awesome Soft Salad,Passaic,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Services & Repair,+62 987-343-7031,Resto,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp17,300,000",4,Married people,"Rp243,900,000",7,1172%,"Rp220,000,000",27100,10.00%,"Rp15,000",6,,
572,Licensed Frozen Table,East Wellingtontown,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,"Consulting
",+62 269-194-9069,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp25,000,000",3,Elementary school student,"Rp600,000,000",6,100%,"Rp50,000,000",60000,2.00%,"Rp100,000",5,,
573,Rustic Wooden Chips,North Daxview,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fast Food,+62 067-882-1812,Kios,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp193,700,000",8,Middle-aged,"Rp166,237,500",6,-48%,"Rp100,000,000",4433,3.00%,"Rp250,000",5,,
574,Awesome Metal Pants,Port Alaina,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Beverages,+62 752-063-1215,Stand,"Cleaning Supplies and Materials, Laundry Management System, Local Promotional and Advertising Materials, Operational Management Manual, Occupational Safety and Health (OHS) Training, Supplier Network and Supporting Products, Finance and Financing System","Rp25,000,000",8,All ages,"Rp198,240,000",8,0%,"Rp25,000,000",17700,8.00%,"Rp35,000",4,,
575,Sleek Rubber Ball,Danbury,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Beverages,+62 512-795-3476,Resto,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp130,910,000",9,High school students,"Rp40,392,000",6,167%,"Rp350,000,000",5610,12.00%,"Rp15,000",4,,
576,Modern Cotton Table,Bradtkeborough,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Restaurant,+62 114-905-9770,Stand,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp250,000,000",2,Workers,"Rp63,000,000",7,-68%,"Rp80,000,000",70000,9.00%,"Rp10,000",1,,
577,Rustic Metal Shirt,West Mariancester,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Beverages,+62 126-328-0157,Resto,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp63,500,000",4,All ages,"Rp609,750,000",6,128%,"Rp145,000,000",27100,5.00%,"Rp150,000",3,,
578,Intelligent Granite Fish,Port Myronview,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Beauty & Healthcare,+62 058-213-4186,Kios,"Exclusive Booth, High-Pressure Stove, Complete Cooking Equipment, Brand Sticker and Wallpaper, Opening Banner and Banner, First Sale Raw Materials, Marketing Support (Instagram Ads, Influencer, Blogger)","Rp18,320,000",4,Below elementary students,"Rp34,000,000",5,36%,"Rp25,000,000",8500,2.00%,"Rp100,000",2,,
579,Awesome Granite Towels,Joelberg,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fashion,+62 112-629-0796,Resto,"Rental of location for one year, Venue Renovation, 2 AutoClean Waterless Outlets, 1 Autoclean WaterlessPlus Outlet, Outlet Setting Creation, End To End, Integrated System, Employee Training, Grand Opening Promo","Rp82,400,000",4,students,"Rp22,500,000",2,203%,"Rp250,000,000",30000,5.00%,"Rp15,000",1,,
